"trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","STUDY_ID","SESSION_ID","rt","stimulus","button_pressed","success","key_press","responses","isData","view_history","response_type","avg_frame_time","center_x","center_y","isSC","stim_side","trial_luminance","step_size","nReversal","correct","prev_ans","isThreshold","SC_threshold","final_threshold","isLuminance","FF_luminance","luminance","stimSide","ISInt","isFF","question_order","isSPQ","isCAPS","isAQ"
"psychophysics","10","209215","0.0-6.0-0.4","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","3969.8000000715256","","","","39","","","","key","16.666585858585844","683","312.5","true","1","129","30","0","-1","-1","","","","","","","","","","","","",""
"psychophysics","11","212462","0.0-6.0-0.5","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","2241.2000000476837","","","","39","","","","key","16.66511340206174","683","312.5","true","-1","129","24","1","1","-1","","","","","","","","","","","","",""
"psychophysics","12","213500","0.0-6.0-0.6","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","32.799999952316284","","","","37","","","","key","16.666661290322324","683","312.5","true","-1","153","24","1","-1","1","","","","","","","","","","","","",""
"psychophysics","13","214639","0.0-6.0-0.7","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","131.5","","","","39","","","","key","16.66540298507455","683","312.5","true","1","153","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","14","216273","0.0-6.0-0.8","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","621.8999999761581","","","","39","","","","key","16.667340206185454","683","312.5","true","1","133.8","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","15","217850","0.0-6.0-0.9","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","575.2999999523163","","","","37","","","","key","16.664223404255377","683","312.5","true","-1","133.8","19.2","2","-1","-1","","","","","","","","","","","","",""
"psychophysics","16","219641","0.0-6.0-0.10","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","781.7999999523163","","","","39","","","","key","16.666084905660476","683","312.5","true","-1","129","15.36","3","1","-1","","","","","","","","","","","","",""
"psychophysics","17","220986","0.0-6.0-0.11","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","343.60000002384186","","","","37","","","","key","16.667862500000048","683","312.5","true","-1","144.36","15.36","3","-1","1","","","","","","","","","","","","",""
"psychophysics","18","222170","0.0-6.0-0.12","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","175","","","","37","","","","key","16.66744285714272","683","312.5","true","-1","144.36","12.287999999999998","4","-1","-1","","","","","","","","","","","","",""
"psychophysics","19","223698","0.0-6.0-0.13","61096a6ab244ccee2220a180","6368f2eea3e9634aebcc2f6b","636b6fbd9857856b67122c68","519","","","","39","","","","key","16.665945054945002","683","312.5","true","-1","132.072","9.8304","5","1","-1","","","","","","","","","","","","",""
