"trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","STUDY_ID","SESSION_ID","rt","stimulus","button_pressed","success","key_press","responses","isData","view_history","response_type","avg_frame_time","center_x","center_y","isSC","stim_side","trial_luminance","step_size","nReversal","correct","prev_ans","isThreshold","SC_threshold","final_threshold","isLuminance","FF_luminance","luminance","stimSide","ISInt","isFF","question_order","isSPQ","isCAPS","isAQ"
"psychophysics","12","154099","0.0-6.0-0.6","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1527","","","","37","","","","key","16.722060000000056","960","468.5","true","1","205.2","15.36","3","1","-1","","","","","","","","","","","","",""
"psychophysics","13","155129","0.0-6.0-0.7","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","26.5","","","","39","","","","key","16.722426229508184","960","468.5","true","1","220.56","15.36","3","-1","1","","","","","","","","","","","","",""
"psychophysics","14","156162","0.0-6.0-0.8","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","31","","","","37","","","","key","16.721540983606484","960","468.5","true","-1","220.56","12.287999999999998","4","-1","-1","","","","","","","","","","","","",""
"psychophysics","15","157219","0.0-6.0-0.9","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","46.900000005960464","","","","37","","","","key","16.72232258064492","960","468.5","true","-1","208.272","12.287999999999998","4","-1","-1","","","","","","","","","","","","",""
"psychophysics","16","159399","0.0-6.0-0.10","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1177.5","","","","39","","","","key","16.721651162790646","960","468.5","true","-1","208.272","9.8304","5","1","-1","","","","","","","","","","","","",""
"psychophysics","17","161725","0.0-6.0-0.11","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1321.9000000059605","","","","39","","","","key","16.7224420289854","960","468.5","true","-1","218.1024","9.8304","5","1","1","","","","","","","","","","","","",""
"psychophysics","18","164396","0.0-6.0-0.12","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1668.7000000029802","","","","39","","","","key","16.721805031446678","960","468.5","true","1","227.9328","9.8304","5","-1","1","","","","","","","","","","","","",""
"psychophysics","19","167404","0.0-6.0-0.13","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","2001.300000011921","","","","39","","","","key","16.7222011173183","960","468.5","true","-1","227.9328","7.864319999999999","6","1","-1","","","","","","","","","","","","",""
"psychophysics","20","169595","0.0-6.0-0.14","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1183","","","","37","","","","key","16.722015384615336","960","468.5","true","1","235.79711999999998","7.864319999999999","6","1","1","","","","","","","","","","","","",""
"psychophysics","21","172265","0.0-6.0-0.15","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1660.5","","","","39","","","","key","16.722276729559773","960","468.5","true","1","243.66143999999997","7.864319999999999","6","-1","1","","","","","","","","","","","","",""
"psychophysics","22","175012","0.0-6.0-0.16","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1739","","","","37","","","","key","16.721907975460134","960","468.5","true","1","243.66143999999997","6.291456","7","1","-1","","","","","","","","","","","","",""
"psychophysics","23","177102","0.0-6.0-0.17","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1082.4000000059605","","","","37","","","","key","16.72208870967757","960","468.5","true","-1","249.95289599999998","6.291456","7","-1","1","","","","","","","","","","","","",""
"psychophysics","24","178161","0.0-6.0-0.18","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","53.099999994039536","","","","37","","","","key","16.721322580645303","960","468.5","true","-1","249.95289599999998","5.033164800000001","8","-1","-1","","","","","","","","","","","","",""
"psychophysics","25","180293","0.0-6.0-0.19","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1129.5","","","","37","","","","key","16.721858267716588","960","468.5","true","1","244.91973119999997","4.0265318400000005","9","1","-1","","","","","","","","","","","","",""
"psychophysics","26","182838","0.0-6.0-0.20","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1539.2999999970198","","","","39","","","","key","16.72178145695365","960","468.5","true","-1","248.94626303999996","4.0265318400000005","9","1","1","","","","","","","","","","","","",""
"psychophysics","27","184911","0.0-6.0-0.21","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1068.0999999940395","","","","39","","","","key","16.722040650406633","960","468.5","true","-1","252.97279487999995","4.0265318400000005","9","1","1","","","","","","","","","","","","",""
"psychophysics","28","186989","0.0-6.0-0.22","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1073.9000000059605","","","","39","","","","key","16.72204878048785","960","468.5","true","1","255","4.0265318400000005","9","-1","1","","","","","","","","","","","","",""
"psychophysics","29","189097","0.0-6.0-0.23","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1103.0999999940395","","","","37","","","","key","16.722232000000076","960","468.5","true","1","255","3.2212254720000004","10","1","-1","","","","","","","","","","","","",""
"psychophysics","30","191222","0.0-6.0-0.24","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1123.2000000029802","","","","37","","","","key","16.722251968503898","960","468.5","true","-1","255","3.2212254720000004","10","-1","1","","","","","","","","","","","","",""
"psychophysics","31","192249","0.0-6.0-0.25","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","24","","","","37","","","","key","16.721983333333142","960","468.5","true","-1","251.77877452799999","2.5769803776000004","11","-1","-1","","","","","","","","","","","","",""
"psychophysics","32","194438","0.0-6.0-0.26","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1185.7999999970198","","","","39","","","","key","16.721846153846126","960","468.5","true","-1","251.77877452799999","2.0615843020800004","12","1","-1","","","","","","","","","","","","",""
"psychophysics","33","196712","0.0-6.0-0.27","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","1268.5","","","","39","","","","key","16.721614814814853","960","468.5","true","1","253.84035883008","2.0615843020800004","12","-1","1","","","","","","","","","","","","",""
"psychophysics","34","198372","0.0-6.0-0.28","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","657.2000000029802","","","","39","","","","key","16.72183673469378","960","468.5","true","-1","253.84035883008","1.6492674416640005","13","1","-1","","","","","","","","","","","","",""
"psychophysics","35","200372","0.0-6.0-0.29","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","992.0999999940395","","","","39","","","","key","16.721991596638542","960","468.5","true","1","255","1.6492674416640005","13","-1","1","","","","","","","","","","","","",""
"psychophysics","36","202091","0.0-6.0-0.30","600d559d03355c51465a7004","636dff3392645181d3c238a1","636e0164904f7b7f4aa51a70","711","","","","39","","","","key","16.722168316831812","960","468.5","true","-1","255","1.3194139533312006","14","1","-1","","","","","","","","","","","","",""
